# Table used for listing simple BIOM display servers
#<name>	<id>	<version>
Triticum aestivum Cadenza genes (TGAC_cadenza)	tacadenza_eg_gene	TGAC_cadenza
Populus trichocarpa genes (Pop_tri_v3)	ptrichocarpa_eg_gene	Pop_tri_v3
Chlamydomonas reinhardtii genes (Chlamydomonas_reinhardtii_v5.5)	creinhardtii_eg_gene	Chlamydomonas_reinhardtii_v5.5
Oryza longistaminata genes (O_longistaminata_v1.0)	olongistaminata_eg_gene	O_longistaminata_v1.0
Malus domestica Golden genes (ASM211411v1)	mdgolden_eg_gene	ASM211411v1
Triticum aestivum Paragon genes (EI_paragon)	taparagon_eg_gene	EI_paragon
Triticum dicoccoides genes (WEWSeq v.1.0)	tdicoccoides_eg_gene	WEWSeq v.1.0
Arabidopsis thaliana genes (TAIR10)	athaliana_eg_gene	TAIR10
Coffea canephora genes (AUK_PRJEB4211_v1)	ccanephora_eg_gene	AUK_PRJEB4211_v1
Saccharum spontaneum genes (Sspon.HiC_chr_asm)	sspontaneum_eg_gene	Sspon.HiC_chr_asm
Theobroma cacao Belizian Criollo B97-61/B2 genes (Criollo_cocoa_genome_V2)	tccriollo_eg_gene	Criollo_cocoa_genome_V2
Ipomoea triloba genes (ASM357664v1)	itriloba_eg_gene	ASM357664v1
Setaria viridis genes (Setaria_viridis_v2.0)	sviridis_eg_gene	Setaria_viridis_v2.0
Rosa chinensis genes (RchiOBHm-V2)	rchinensis_eg_gene	RchiOBHm-V2
Chondrus crispus genes (ASM35022v2)	ccrispus_eg_gene	ASM35022v2
Prunus avium genes (PAV_r1.0)	pavium_eg_gene	PAV_r1.0
Pistacia vera genes (PisVer_v2)	pvera_eg_gene	PisVer_v2
Nymphaea colorata genes (ASM883128v1)	ncolorata_eg_gene	ASM883128v1
Citrus clementina genes (Citrus_clementina_v1.0)	cclementina_eg_gene	Citrus_clementina_v1.0
Citrullus lanatus genes (Cla97_v1)	clanatus_eg_gene	Cla97_v1
Cannabis sativa female genes (cs10)	csfemale_eg_gene	cs10
Oryza barthii genes (O.barthii_v1)	obarthii_eg_gene	O.barthii_v1
Beta vulgaris genes (RefBeet-1.2.2)	bvulgaris_eg_gene	RefBeet-1.2.2
Triticum urartu genes (ASM34745v1)	turartu_eg_gene	ASM34745v1
Arabidopsis halleri genes (Ahal2.2)	ahalleri_eg_gene	Ahal2.2
Oryza sativa Japonica Group genes (IRGSP-1.0)	osativa_eg_gene	IRGSP-1.0
Galdieria sulphuraria genes (ASM34128v1)	gsulphuraria_eg_gene	ASM34128v1
Setaria italica genes (Setaria_italica_v2.0)	sitalica_eg_gene	Setaria_italica_v2.0
Hordeum vulgare GoldenPromise genes (GPv1)	hvgoldenpromise_eg_gene	GPv1
Brachypodium distachyon genes (Brachypodium_distachyon_v3.0)	bdistachyon_eg_gene	Brachypodium_distachyon_v3.0
Musa acuminata genes (ASM31385v1)	macuminata_eg_gene	ASM31385v1
Ostreococcus lucimarinus genes (ASM9206v1)	olucimarinus_eg_gene	ASM9206v1
Olea europaea var. sylvestris genes (O_europaea_v1)	oesylvestris_eg_gene	O_europaea_v1

